user_id,item_id,event_type,event_weight,timestamp
U0443,I0001,purchase,7.0,2025-09-01
U0373,I0089,purchase,7.0,2025-09-01
U0237,I0046,view,1.0,2025-09-01
U0437,I0072,cart,3.0,2025-09-01
U0070,I0117,view,1.0,2025-09-01
U0215,I0141,view,1.0,2025-09-01
U0304,I0002,view,1.0,2025-09-01
U0416,I0014,purchase,7.0,2025-09-01
U0341,I0139,purchase,7.0,2025-09-01
U0123,I0170,purchase,7.0,2025-09-01
U0417,I0126,purchase,7.0,2025-09-01
U0327,I0029,purchase,7.0,2025-09-01
U0074,I0066,purchase,7.0,2025-09-01
U0307,I0139,purchase,7.0,2025-09-01
U0029,I0167,cart,3.0,2025-09-01
U0406,I0061,cart,3.0,2025-09-01
U0098,I0173,cart,3.0,2025-09-01
U0344,I0106,view,1.0,2025-09-01
U0284,I0082,cart,3.0,2025-09-01
U0228,I0001,view,1.0,2025-09-01
U0210,I0033,cart,3.0,2025-09-01
U0155,I0031,view,1.0,2025-09-01
U0368,I0099,view,1.0,2025-09-01
U0193,I0163,cart,3.0,2025-09-01
U0009,I0065,view,1.0,2025-09-01
U0084,I0061,purchase,7.0,2025-09-01
U0017,I0068,purchase,7.0,2025-09-01
U0236,I0060,view,1.0,2025-09-01
U0368,I0108,cart,3.0,2025-09-01
U0178,I0048,cart,3.0,2025-09-01
U0434,I0053,view,1.0,2025-09-01
U0290,I0081,view,1.0,2025-09-01
U0147,I0119,purchase,7.0,2025-09-01
U0024,I0086,view,1.0,2025-09-01
U0009,I0102,purchase,7.0,2025-09-01
U0257,I0056,view,1.0,2025-09-01
U0001,I0061,purchase,7.0,2025-09-01
U0177,I0041,view,1.0,2025-09-01
U0153,I0143,cart,3.0,2025-09-01
U0450,I0044,purchase,7.0,2025-09-01
U0045,I0086,view,1.0,2025-09-01
U0153,I0143,view,1.0,2025-09-01
U0384,I0142,view,1.0,2025-09-01
U0370,I0060,view,1.0,2025-09-01
U0370,I0060,purchase,7.0,2025-09-01
U0194,I0063,view,1.0,2025-09-01
U0382,I0006,view,1.0,2025-09-01
U0244,I0134,cart,3.0,2025-09-01
U0440,I0065,view,1.0,2025-09-01
U0066,I0001,view,1.0,2025-09-01
U0417,I0029,cart,3.0,2025-09-01
U0131,I0108,cart,3.0,2025-09-01
U0018,I0058,view,1.0,2025-09-01
U0087,I0091,view,1.0,2025-09-01
U0328,I0032,purchase,7.0,2025-09-01
U0319,I0096,view,1.0,2025-09-01
U0099,I0170,cart,3.0,2025-09-01
U0120,I0147,purchase,7.0,2025-09-01
U0420,I0108,view,1.0,2025-09-01
U0105,I0031,purchase,7.0,2025-09-01
U0130,I0087,purchase,7.0,2025-09-01
U0368,I0026,purchase,7.0,2025-09-01
U0302,I0103,cart,3.0,2025-09-01
U0239,I0111,view,1.0,2025-09-01
U0089,I0108,purchase,7.0,2025-09-01
U0160,I0081,purchase,7.0,2025-09-01
U0109,I0021,view,1.0,2025-09-01
U0148,I0036,cart,3.0,2025-09-01
U0245,I0055,cart,3.0,2025-09-01
U0133,I0041,purchase,7.0,2025-09-01
U0094,I0153,purchase,7.0,2025-09-01
U0078,I0118,view,1.0,2025-09-01
U0065,I0130,view,1.0,2025-09-01
U0161,I0085,purchase,7.0,2025-09-01
U0354,I0066,view,1.0,2025-09-01
U0161,I0085,purchase,7.0,2025-09-01
U0315,I0167,cart,3.0,2025-09-01
U0316,I0063,purchase,7.0,2025-09-01
U0201,I0158,view,1.0,2025-09-01
U0220,I0143,view,1.0,2025-09-01
U0351,I0162,purchase,7.0,2025-09-01
U0354,I0136,cart,3.0,2025-09-01
U0389,I0026,cart,3.0,2025-09-01
U0227,I0030,purchase,7.0,2025-09-01
U0134,I0154,cart,3.0,2025-09-01
U0036,I0167,cart,3.0,2025-09-01
U0162,I0143,view,1.0,2025-09-01
U0047,I0107,cart,3.0,2025-09-01
U0053,I0059,view,1.0,2025-09-01
U0402,I0067,cart,3.0,2025-09-01
U0422,I0038,cart,3.0,2025-09-01
U0245,I0055,cart,3.0,2025-09-01
U0435,I0008,cart,3.0,2025-09-01
U0193,I0044,cart,3.0,2025-09-01
U0210,I0033,purchase,7.0,2025-09-01
U0158,I0066,purchase,7.0,2025-09-01
U0322,I0156,purchase,7.0,2025-09-01
U0281,I0086,cart,3.0,2025-09-01
U0344,I0135,view,1.0,2025-09-01
U0093,I0007,view,1.0,2025-09-01
U0176,I0012,purchase,7.0,2025-09-01
U0310,I0040,view,1.0,2025-09-01
U0251,I0074,cart,3.0,2025-09-01
U0420,I0022,cart,3.0,2025-09-01
U0418,I0028,view,1.0,2025-09-01
U0280,I0120,purchase,7.0,2025-09-01
U0097,I0111,view,1.0,2025-09-01
U0160,I0060,view,1.0,2025-09-01
U0216,I0019,purchase,7.0,2025-09-02
U0108,I0115,cart,3.0,2025-09-02
U0252,I0059,cart,3.0,2025-09-02
U0303,I0167,view,1.0,2025-09-02
U0137,I0086,purchase,7.0,2025-09-02
U0117,I0151,cart,3.0,2025-09-02
U0267,I0136,cart,3.0,2025-09-02
U0302,I0103,view,1.0,2025-09-02
U0265,I0159,cart,3.0,2025-09-02
U0034,I0155,purchase,7.0,2025-09-02
U0408,I0178,cart,3.0,2025-09-02
U0138,I0098,cart,3.0,2025-09-02
U0330,I0009,view,1.0,2025-09-02
U0069,I0173,cart,3.0,2025-09-02
U0008,I0139,purchase,7.0,2025-09-02
U0384,I0142,cart,3.0,2025-09-02
U0436,I0026,cart,3.0,2025-09-02
U0315,I0103,view,1.0,2025-09-02
U0196,I0087,view,1.0,2025-09-02
U0412,I0067,purchase,7.0,2025-09-02
U0413,I0097,purchase,7.0,2025-09-02
U0192,I0165,view,1.0,2025-09-02
U0132,I0086,view,1.0,2025-09-02
U0015,I0081,purchase,7.0,2025-09-02
U0260,I0063,view,1.0,2025-09-02
U0393,I0096,purchase,7.0,2025-09-02
U0259,I0150,cart,3.0,2025-09-02
U0342,I0090,view,1.0,2025-09-02
U0193,I0106,view,1.0,2025-09-02
U0413,I0097,purchase,7.0,2025-09-02
U0342,I0172,purchase,7.0,2025-09-02
U0131,I0108,view,1.0,2025-09-02
U0077,I0175,purchase,7.0,2025-09-02
U0059,I0152,view,1.0,2025-09-02
U0018,I0001,view,1.0,2025-09-02
U0326,I0055,purchase,7.0,2025-09-02
U0190,I0092,view,1.0,2025-09-02
U0257,I0129,purchase,7.0,2025-09-02
U0197,I0059,purchase,7.0,2025-09-02
U0006,I0031,cart,3.0,2025-09-02
U0237,I0024,view,1.0,2025-09-02
U0015,I0024,cart,3.0,2025-09-02
U0062,I0026,purchase,7.0,2025-09-02
U0378,I0067,cart,3.0,2025-09-02
U0135,I0119,view,1.0,2025-09-02
U0348,I0033,view,1.0,2025-09-02
U0255,I0031,purchase,7.0,2025-09-02
U0263,I0001,cart,3.0,2025-09-02
U0135,I0119,purchase,7.0,2025-09-02
U0006,I0030,view,1.0,2025-09-02
U0309,I0149,view,1.0,2025-09-02
U0135,I0119,cart,3.0,2025-09-02
U0186,I0126,view,1.0,2025-09-02
U0437,I0119,view,1.0,2025-09-02
U0378,I0179,cart,3.0,2025-09-02
U0197,I0060,cart,3.0,2025-09-02
U0390,I0113,cart,3.0,2025-09-02
U0078,I0055,cart,3.0,2025-09-02
U0433,I0112,view,1.0,2025-09-02
U0436,I0040,cart,3.0,2025-09-02
U0436,I0040,cart,3.0,2025-09-02
U0263,I0001,view,1.0,2025-09-02
U0237,I0141,view,1.0,2025-09-02
U0081,I0106,view,1.0,2025-09-02
U0390,I0131,view,1.0,2025-09-02
U0364,I0168,view,1.0,2025-09-02
U0037,I0069,purchase,7.0,2025-09-02
U0390,I0113,purchase,7.0,2025-09-02
U0278,I0108,cart,3.0,2025-09-02
U0164,I0158,view,1.0,2025-09-02
U0038,I0074,cart,3.0,2025-09-02
U0446,I0097,view,1.0,2025-09-02
U0164,I0158,cart,3.0,2025-09-02
U0247,I0006,purchase,7.0,2025-09-02
U0164,I0158,cart,3.0,2025-09-02
U0362,I0127,purchase,7.0,2025-09-02
U0403,I0001,view,1.0,2025-09-02
U0075,I0130,cart,3.0,2025-09-02
U0003,I0121,view,1.0,2025-09-02
U0117,I0095,purchase,7.0,2025-09-02
U0123,I0111,view,1.0,2025-09-02
U0075,I0130,cart,3.0,2025-09-02
U0360,I0138,purchase,7.0,2025-09-02
U0072,I0176,view,1.0,2025-09-02
U0240,I0115,purchase,7.0,2025-09-02
U0276,I0129,view,1.0,2025-09-02
U0020,I0064,view,1.0,2025-09-02
U0103,I0049,cart,3.0,2025-09-02
U0144,I0095,purchase,7.0,2025-09-02
U0215,I0086,cart,3.0,2025-09-02
U0036,I0167,view,1.0,2025-09-02
U0444,I0124,cart,3.0,2025-09-02
U0162,I0168,view,1.0,2025-09-02
U0382,I0056,view,1.0,2025-09-02
U0209,I0146,purchase,7.0,2025-09-02
U0109,I0021,purchase,7.0,2025-09-02
U0072,I0055,cart,3.0,2025-09-02
U0017,I0068,view,1.0,2025-09-02
U0074,I0103,view,1.0,2025-09-02
U0231,I0009,purchase,7.0,2025-09-02
U0370,I0059,cart,3.0,2025-09-02
U0319,I0046,cart,3.0,2025-09-02
U0034,I0114,cart,3.0,2025-09-02
U0229,I0081,purchase,7.0,2025-09-02
U0105,I0031,purchase,7.0,2025-09-02
U0212,I0072,view,1.0,2025-09-02
U0290,I0024,purchase,7.0,2025-09-02
U0290,I0081,purchase,7.0,2025-09-02
U0368,I0099,cart,3.0,2025-09-02
U0205,I0055,view,1.0,2025-09-02
U0046,I0154,cart,3.0,2025-09-02
U0088,I0053,purchase,7.0,2025-09-02
U0157,I0061,view,1.0,2025-09-02
U0422,I0038,purchase,7.0,2025-09-02
U0158,I0167,purchase,7.0,2025-09-02
U0280,I0010,cart,3.0,2025-09-02
U0291,I0177,cart,3.0,2025-09-02
U0028,I0064,view,1.0,2025-09-02
U0372,I0044,cart,3.0,2025-09-02
U0245,I0055,purchase,7.0,2025-09-02
U0365,I0042,view,1.0,2025-09-02
U0043,I0086,view,1.0,2025-09-02
U0016,I0083,cart,3.0,2025-09-02
U0279,I0048,cart,3.0,2025-09-02
U0228,I0178,purchase,7.0,2025-09-02
U0373,I0089,cart,3.0,2025-09-02
U0219,I0143,view,1.0,2025-09-02
U0383,I0031,purchase,7.0,2025-09-02
U0093,I0058,purchase,7.0,2025-09-02
U0171,I0126,purchase,7.0,2025-09-02
U0081,I0106,purchase,7.0,2025-09-02
U0102,I0082,cart,3.0,2025-09-02
U0250,I0098,purchase,7.0,2025-09-02
U0067,I0173,view,1.0,2025-09-02
U0011,I0075,cart,3.0,2025-09-02
U0038,I0074,cart,3.0,2025-09-02
U0431,I0048,purchase,7.0,2025-09-02
U0426,I0115,view,1.0,2025-09-02
U0235,I0104,view,1.0,2025-09-02
U0391,I0096,view,1.0,2025-09-02
U0077,I0110,cart,3.0,2025-09-02
U0335,I0061,purchase,7.0,2025-09-02
U0016,I0083,cart,3.0,2025-09-02
U0173,I0136,view,1.0,2025-09-02
U0142,I0083,cart,3.0,2025-09-02
U0026,I0152,cart,3.0,2025-09-02
U0274,I0147,view,1.0,2025-09-02
U0176,I0145,view,1.0,2025-09-02
U0357,I0047,cart,3.0,2025-09-02
U0381,I0079,cart,3.0,2025-09-02
U0177,I0041,purchase,7.0,2025-09-02
U0064,I0138,view,1.0,2025-09-02
U0091,I0111,cart,3.0,2025-09-02
U0051,I0030,purchase,7.0,2025-09-02
U0069,I0002,purchase,7.0,2025-09-02
U0018,I0120,cart,3.0,2025-09-02
U0275,I0085,cart,3.0,2025-09-02
U0201,I0170,view,1.0,2025-09-02
U0177,I0041,view,1.0,2025-09-02
U0357,I0047,purchase,7.0,2025-09-02
U0121,I0169,purchase,7.0,2025-09-03
U0077,I0013,view,1.0,2025-09-03
U0101,I0111,purchase,7.0,2025-09-03
U0239,I0111,cart,3.0,2025-09-03
U0245,I0055,purchase,7.0,2025-09-03
U0117,I0095,cart,3.0,2025-09-03
U0211,I0098,cart,3.0,2025-09-03
U0194,I0063,purchase,7.0,2025-09-03
U0105,I0031,view,1.0,2025-09-03
U0201,I0127,cart,3.0,2025-09-03
U0014,I0053,purchase,7.0,2025-09-03
U0251,I0074,purchase,7.0,2025-09-03
U0104,I0055,purchase,7.0,2025-09-03
U0210,I0033,cart,3.0,2025-09-03
U0212,I0097,purchase,7.0,2025-09-03
U0308,I0158,purchase,7.0,2025-09-03
U0392,I0053,purchase,7.0,2025-09-03
U0212,I0023,view,1.0,2025-09-03
U0130,I0058,cart,3.0,2025-09-03
U0429,I0161,view,1.0,2025-09-03
U0314,I0130,view,1.0,2025-09-03
U0330,I0078,view,1.0,2025-09-03
U0417,I0029,purchase,7.0,2025-09-03
U0430,I0022,view,1.0,2025-09-03
U0391,I0012,cart,3.0,2025-09-03
U0196,I0010,view,1.0,2025-09-03
U0245,I0055,purchase,7.0,2025-09-03
U0121,I0063,purchase,7.0,2025-09-03
U0215,I0086,view,1.0,2025-09-03
U0101,I0154,purchase,7.0,2025-09-03
U0038,I0074,cart,3.0,2025-09-03
U0011,I0080,purchase,7.0,2025-09-03
U0335,I0081,view,1.0,2025-09-03
U0199,I0044,cart,3.0,2025-09-03
U0413,I0023,cart,3.0,2025-09-03
U0067,I0103,purchase,7.0,2025-09-03
U0340,I0156,purchase,7.0,2025-09-03
U0198,I0075,view,1.0,2025-09-03
U0116,I0079,view,1.0,2025-09-03
U0426,I0132,view,1.0,2025-09-03
U0065,I0085,cart,3.0,2025-09-03
U0207,I0104,cart,3.0,2025-09-03
U0207,I0104,purchase,7.0,2025-09-03
U0207,I0104,cart,3.0,2025-09-03
U0116,I0057,cart,3.0,2025-09-03
U0198,I0008,view,1.0,2025-09-03
U0337,I0146,purchase,7.0,2025-09-03
U0382,I0056,purchase,7.0,2025-09-03
U0334,I0112,cart,3.0,2025-09-03
U0255,I0031,purchase,7.0,2025-09-03
U0330,I0078,cart,3.0,2025-09-03
U0100,I0104,cart,3.0,2025-09-03
U0205,I0036,cart,3.0,2025-09-03
U0313,I0128,purchase,7.0,2025-09-03
U0416,I0042,view,1.0,2025-09-03
U0335,I0061,cart,3.0,2025-09-03
U0330,I0060,view,1.0,2025-09-03
U0124,I0037,view,1.0,2025-09-03
U0121,I0169,view,1.0,2025-09-03
U0212,I0100,cart,3.0,2025-09-03
U0245,I0031,view,1.0,2025-09-03
U0246,I0072,purchase,7.0,2025-09-03
U0239,I0096,cart,3.0,2025-09-03
U0019,I0065,view,1.0,2025-09-03
U0335,I0061,view,1.0,2025-09-03
U0257,I0134,cart,3.0,2025-09-03
U0116,I0129,cart,3.0,2025-09-03
U0382,I0056,cart,3.0,2025-09-03
U0063,I0018,view,1.0,2025-09-03
U0340,I0123,cart,3.0,2025-09-03
U0383,I0031,view,1.0,2025-09-03
U0216,I0019,purchase,7.0,2025-09-03
U0009,I0168,cart,3.0,2025-09-03
U0128,I0029,view,1.0,2025-09-03
U0204,I0030,view,1.0,2025-09-03
U0034,I0091,view,1.0,2025-09-03
U0060,I0156,cart,3.0,2025-09-03
U0313,I0092,cart,3.0,2025-09-03
U0010,I0054,view,1.0,2025-09-03
U0194,I0065,view,1.0,2025-09-03
U0224,I0081,view,1.0,2025-09-03
U0082,I0148,view,1.0,2025-09-03
U0373,I0016,view,1.0,2025-09-03
U0003,I0047,view,1.0,2025-09-03
U0031,I0167,purchase,7.0,2025-09-03
U0167,I0061,purchase,7.0,2025-09-03
U0166,I0088,purchase,7.0,2025-09-03
U0165,I0048,cart,3.0,2025-09-03
U0165,I0048,purchase,7.0,2025-09-03
U0234,I0001,cart,3.0,2025-09-03
U0319,I0046,view,1.0,2025-09-03
U0226,I0129,purchase,7.0,2025-09-03
U0018,I0041,cart,3.0,2025-09-03
U0027,I0051,view,1.0,2025-09-03
U0276,I0131,view,1.0,2025-09-03
U0017,I0068,purchase,7.0,2025-09-03
U0373,I0149,purchase,7.0,2025-09-03
U0049,I0134,purchase,7.0,2025-09-03
U0112,I0152,cart,3.0,2025-09-03
U0443,I0001,cart,3.0,2025-09-03
U0423,I0075,cart,3.0,2025-09-03
U0295,I0162,purchase,7.0,2025-09-03
U0093,I0001,view,1.0,2025-09-03
U0175,I0081,cart,3.0,2025-09-03
U0301,I0066,cart,3.0,2025-09-03
U0072,I0155,cart,3.0,2025-09-03
U0194,I0022,cart,3.0,2025-09-03
U0042,I0070,purchase,7.0,2025-09-03
U0052,I0095,view,1.0,2025-09-03
U0273,I0031,cart,3.0,2025-09-03
U0276,I0116,purchase,7.0,2025-09-03
U0070,I0138,view,1.0,2025-09-03
U0273,I0031,view,1.0,2025-09-03
U0172,I0060,cart,3.0,2025-09-03
U0031,I0099,view,1.0,2025-09-03
U0297,I0035,purchase,7.0,2025-09-03
U0355,I0131,purchase,7.0,2025-09-03
U0224,I0061,view,1.0,2025-09-03
U0386,I0142,purchase,7.0,2025-09-03
U0224,I0024,cart,3.0,2025-09-03
U0297,I0035,view,1.0,2025-09-03
U0277,I0058,view,1.0,2025-09-03
U0147,I0119,view,1.0,2025-09-03
U0446,I0119,view,1.0,2025-09-03
U0109,I0021,purchase,7.0,2025-09-03
U0150,I0134,view,1.0,2025-09-03
U0450,I0065,purchase,7.0,2025-09-03
U0028,I0161,purchase,7.0,2025-09-03
U0046,I0066,purchase,7.0,2025-09-03
U0150,I0131,view,1.0,2025-09-03
U0421,I0130,cart,3.0,2025-09-03
U0289,I0102,view,1.0,2025-09-03
U0028,I0064,cart,3.0,2025-09-03
U0151,I0079,purchase,7.0,2025-09-03
U0370,I0175,cart,3.0,2025-09-03
U0229,I0081,cart,3.0,2025-09-03
U0370,I0059,view,1.0,2025-09-03
U0044,I0168,view,1.0,2025-09-03
U0230,I0150,purchase,7.0,2025-09-03
U0289,I0009,cart,3.0,2025-09-03
U0085,I0081,purchase,7.0,2025-09-03
U0153,I0143,purchase,7.0,2025-09-03
U0151,I0116,purchase,7.0,2025-09-03
U0175,I0081,purchase,7.0,2025-09-03
U0001,I0081,view,1.0,2025-09-03
U0401,I0157,view,1.0,2025-09-03
U0397,I0069,view,1.0,2025-09-03
U0364,I0168,purchase,7.0,2025-09-03
U0043,I0175,cart,3.0,2025-09-03
U0163,I0040,cart,3.0,2025-09-03
U0030,I0002,cart,3.0,2025-09-03
U0292,I0090,view,1.0,2025-09-03
U0083,I0096,cart,3.0,2025-09-03
U0071,I0078,purchase,7.0,2025-09-03
U0158,I0154,cart,3.0,2025-09-03
U0227,I0091,view,1.0,2025-09-03
U0279,I0093,view,1.0,2025-09-03
U0084,I0145,purchase,7.0,2025-09-03
U0089,I0108,cart,3.0,2025-09-03
U0389,I0026,cart,3.0,2025-09-03
U0084,I0012,cart,3.0,2025-09-03
U0291,I0086,view,1.0,2025-09-03
U0109,I0021,view,1.0,2025-09-03
U0371,I0002,view,1.0,2025-09-03
U0016,I0041,cart,3.0,2025-09-03
U0041,I0074,purchase,7.0,2025-09-03
U0424,I0058,purchase,7.0,2025-09-03
U0073,I0072,purchase,7.0,2025-09-03
U0346,I0066,view,1.0,2025-09-03
U0346,I0039,view,1.0,2025-09-03
U0189,I0150,cart,3.0,2025-09-03
U0057,I0090,view,1.0,2025-09-03
U0068,I0169,cart,3.0,2025-09-03
U0410,I0048,purchase,7.0,2025-09-03
U0096,I0121,view,1.0,2025-09-03
U0237,I0024,purchase,7.0,2025-09-03
U0378,I0090,view,1.0,2025-09-03
U0317,I0087,view,1.0,2025-09-03
U0079,I0169,view,1.0,2025-09-03
U0410,I0048,purchase,7.0,2025-09-03
U0437,I0053,view,1.0,2025-09-03
U0185,I0083,view,1.0,2025-09-03
U0348,I0007,view,1.0,2025-09-03
U0185,I0083,purchase,7.0,2025-09-03
U0096,I0121,cart,3.0,2025-09-03
U0185,I0083,purchase,7.0,2025-09-03
U0378,I0035,cart,3.0,2025-09-03
U0135,I0119,view,1.0,2025-09-03
U0022,I0044,view,1.0,2025-09-03
U0133,I0083,purchase,7.0,2025-09-03
U0067,I0173,view,1.0,2025-09-03
U0131,I0167,view,1.0,2025-09-03
U0115,I0011,cart,3.0,2025-09-03
U0385,I0179,view,1.0,2025-09-03
U0378,I0146,purchase,7.0,2025-09-03
U0017,I0068,purchase,7.0,2025-09-03
U0220,I0143,purchase,7.0,2025-09-03
U0193,I0022,view,1.0,2025-09-03
U0436,I0054,cart,3.0,2025-09-03
U0193,I0068,purchase,7.0,2025-09-03
U0193,I0092,cart,3.0,2025-09-03
U0192,I0156,purchase,7.0,2025-09-03
U0132,I0086,purchase,7.0,2025-09-03
U0078,I0010,view,1.0,2025-09-03
U0190,I0112,view,1.0,2025-09-03
U0260,I0063,purchase,7.0,2025-09-03
U0261,I0046,view,1.0,2025-09-03
U0261,I0064,view,1.0,2025-09-03
U0193,I0163,view,1.0,2025-09-03
U0243,I0051,view,1.0,2025-09-03
U0135,I0102,view,1.0,2025-09-03
U0136,I0156,cart,3.0,2025-09-03
U0081,I0106,purchase,7.0,2025-09-03
U0395,I0138,cart,3.0,2025-09-03
U0024,I0174,view,1.0,2025-09-03
U0053,I0150,cart,3.0,2025-09-03
U0095,I0020,cart,3.0,2025-09-03
U0094,I0061,purchase,7.0,2025-09-03
U0424,I0058,cart,3.0,2025-09-03
U0269,I0134,view,1.0,2025-09-03
U0180,I0059,view,1.0,2025-09-03
U0351,I0156,purchase,7.0,2025-09-03
U0032,I0008,view,1.0,2025-09-03
U0041,I0001,view,1.0,2025-09-03
U0093,I0001,cart,3.0,2025-09-03
U0352,I0087,view,1.0,2025-09-03
U0303,I0167,view,1.0,2025-09-03
U0439,I0117,purchase,7.0,2025-09-03
U0222,I0103,view,1.0,2025-09-03
U0095,I0030,view,1.0,2025-09-03
U0318,I0144,view,1.0,2025-09-03
U0377,I0175,view,1.0,2025-09-03
U0069,I0071,view,1.0,2025-09-03
U0182,I0065,view,1.0,2025-09-03
U0223,I0077,purchase,7.0,2025-09-03
U0023,I0124,purchase,7.0,2025-09-03
U0015,I0081,cart,3.0,2025-09-04
U0116,I0129,view,1.0,2025-09-04
U0223,I0111,purchase,7.0,2025-09-04
U0228,I0178,purchase,7.0,2025-09-04
U0105,I0031,cart,3.0,2025-09-04
U0324,I0035,cart,3.0,2025-09-04
U0108,I0115,purchase,7.0,2025-09-04
U0220,I0143,cart,3.0,2025-09-04
U0115,I0011,purchase,7.0,2025-09-04
U0231,I0013,view,1.0,2025-09-04
U0426,I0117,view,1.0,2025-09-04
U0036,I0136,purchase,7.0,2025-09-04
U0224,I0014,view,1.0,2025-09-04
U0425,I0112,purchase,7.0,2025-09-04
U0424,I0058,view,1.0,2025-09-04
U0036,I0167,purchase,7.0,2025-09-04
U0423,I0075,cart,3.0,2025-09-04
U0424,I0058,view,1.0,2025-09-04
U0319,I0177,cart,3.0,2025-09-04
U0330,I0078,view,1.0,2025-09-04
U0324,I0095,purchase,7.0,2025-09-04
U0069,I0128,view,1.0,2025-09-04
U0419,I0040,purchase,7.0,2025-09-04
U0037,I0169,view,1.0,2025-09-04
U0226,I0158,cart,3.0,2025-09-04
U0226,I0126,cart,3.0,2025-09-04
U0318,I0022,view,1.0,2025-09-04
U0322,I0092,view,1.0,2025-09-04
U0019,I0169,cart,3.0,2025-09-04
U0241,I0046,purchase,7.0,2025-09-04
U0068,I0144,purchase,7.0,2025-09-04
U0386,I0023,purchase,7.0,2025-09-04
U0424,I0058,cart,3.0,2025-09-04
U0220,I0143,purchase,7.0,2025-09-04
U0319,I0046,purchase,7.0,2025-09-04
U0110,I0082,purchase,7.0,2025-09-04
